# library,nid,name
sceMpeg,0x37295ED8,sceMpegRingbufferConstruct
sceMpeg,0x13407F13,sceMpegRingbufferDestruct
sceMpeg,0xB240A59E,sceMpegRingbufferPut
sceMpeg,0xD7A29F46,sceMpegRingbufferQueryMemSize
sceMpeg,0x591A4AA2,sceMpegUnRegistStream

sceNet,0x0BF0A3AE,sceNetGetLocalEtherAddr
sceNet,0x39AF39A6,sceNetInit
sceNet,0x281928A9,sceNetTerm

sceNetAdhoc,0x7F75C338,sceNetAdhocGameModeCreateMaster
sceNetAdhoc,0x3278AB0C,sceNetAdhocGameModeCreateReplica
sceNetAdhoc,0xA0229362,sceNetAdhocGameModeDeleteMaster
sceNetAdhoc,0x0B2228E9,sceNetAdhocGameModeDeleteReplica
sceNetAdhoc,0x98C204C8,sceNetAdhocGameModeUpdateMaster
sceNetAdhoc,0xFA324B4E,sceNetAdhocGameModeUpdateReplica
sceNetAdhoc,0xE1D621D7,sceNetAdhocInit
sceNetAdhoc,0x9DF81198,sceNetAdhocPtpAccept
sceNetAdhoc,0x157E6225,sceNetAdhocPtpClose
sceNetAdhoc,0xFC6FC07B,sceNetAdhocPtpConnect
sceNetAdhoc,0x9AC2EEAC,sceNetAdhocPtpFlush
sceNetAdhoc,0xE08BDAC1,sceNetAdhocPtpListen
sceNetAdhoc,0x877F6D66,sceNetAdhocPtpOpen
sceNetAdhoc,0x8BEA2B3E,sceNetAdhocPtpRecv
sceNetAdhoc,0x4DA4C788,sceNetAdhocPtpSend
sceNetAdhoc,0xA62C6F57,sceNetAdhocTerm

sceNetAdhocMatching,0xEA3C6108,sceNetAdhocMatchingCancelTarget
sceNetAdhocMatching,0xCA5EDA6F,sceNetAdhocMatchingCreate
sceNetAdhocMatching,0xF16EAF4F,sceNetAdhocMatchingDelete
sceNetAdhocMatching,0x2A2A1E07,sceNetAdhocMatchingInit
sceNetAdhocMatching,0x5E3D4B79,sceNetAdhocMatchingSelectTarget
sceNetAdhocMatching,0x93EF3843,sceNetAdhocMatchingStart
sceNetAdhocMatching,0x32B156B3,sceNetAdhocMatchingStop
sceNetAdhocMatching,0x7945ECDA,sceNetAdhocMatchingTerm

sceNetAdhocctl,0x20B317A0,sceNetAdhocctlAddHandler
sceNetAdhocctl,0x0AD043ED,sceNetAdhocctlConnect
sceNetAdhocctl,0xA5C055CE,sceNetAdhocctlCreateEnterGameMode
sceNetAdhocctl,0x6402490B,sceNetAdhocctlDelHandler
sceNetAdhocctl,0x34401D65,sceNetAdhocctlDisconnect
sceNetAdhocctl,0xCF8E084D,sceNetAdhocctlExitGameMode
sceNetAdhocctl,0x8916C003,sceNetAdhocctlGetNameByAddr
sceNetAdhocctl,0x8DB83FDC,sceNetAdhocctlGetPeerInfo
sceNetAdhocctl,0xE162CB14,sceNetAdhocctlGetPeerList
sceNetAdhocctl,0xE26F226E,sceNetAdhocctlInit
sceNetAdhocctl,0x1FF89745,sceNetAdhocctlJoinEnterGameMode
sceNetAdhocctl,0x9D689E13,sceNetAdhocctlTerm

scePower,0x04B7766E,scePowerRegisterCallback
scePower,0xDFA8BAF8,scePowerUnregisterCallback

sceRtc,0x011F03C1,sceRtcGetAccumulativeTime
sceRtc,0xE7C27D1B,sceRtcGetCurrentClockLocalTime
sceRtc,0x3F7AD767,sceRtcGetCurrentTick

sceSasCore,0xA3589D81,__sceSasCore
sceSasCore,0x50A14DFC,__sceSasCoreWithMix
sceSasCore,0x68A46B95,__sceSasGetEndFlag
sceSasCore,0x74AE582A,__sceSasGetEnvelopeHeight
sceSasCore,0x2C8E6AB3,__sceSasGetPauseFlag
sceSasCore,0x42778A9F,__sceSasInit
sceSasCore,0xD5A229C9,__sceSasRevEVOL
sceSasCore,0x267A6DD2,__sceSasRevParam
sceSasCore,0x33D4AB37,__sceSasRevType
sceSasCore,0xF983B186,__sceSasRevVON
sceSasCore,0x019B25EB,__sceSasSetADSR
sceSasCore,0x9EC3676A,__sceSasSetADSRmode
sceSasCore,0xA0CF2FA4,__sceSasSetKeyOff
sceSasCore,0x76F01ACA,__sceSasSetKeyOn
sceSasCore,0xB7660A23,__sceSasSetNoise
sceSasCore,0x787D04D5,__sceSasSetPause
sceSasCore,0xAD84D37F,__sceSasSetPitch
sceSasCore,0x5F9529F6,__sceSasSetSL
